# ENG-BREP design lane -- archived probe output
#
# Task B item 3: $-follow safety population (filtered to rows already possessifiable for a benign follow) vs libpcre2, with/without (?m)
#
date:        2026-08-16T17:44:12Z
repo commit: 0b9da1f14436cd3c18f4994b0ffef0d74b8bfcd7  (branch lane/nestedlazy)
gcc:         gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
python:      Python 3.14.4
host:        Linux 7.0.0-29-generic, 12 cores
#
# EVIDENCE, NEVER AN ORACLE: no check reads this file.
#
pref	pfx	body	count	why_for_c_follow	multiline	py_status	pcre2_status
greedy	z	a	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	a	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	a	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	a	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	a	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	a	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	a	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	a	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	a	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	a	*	disjoint+unique-iteration	False	same	same
greedy	z	a	*	disjoint+unique-iteration	True	same	same
greedy	z	a	+	disjoint+unique-iteration	False	same	same
greedy	z	a	+	disjoint+unique-iteration	True	same	same
greedy	z	a	?	disjoint+unique-iteration	False	same	same
greedy	z	a	?	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	[ab]	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	[ab]	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	*	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	*	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	+	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	+	disjoint+unique-iteration	True	same	same
greedy	z	[ab]	?	disjoint+unique-iteration	False	same	same
greedy	z	[ab]	?	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	(a|b)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	(a|b)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	*	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	*	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	+	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	+	disjoint+unique-iteration	True	same	same
greedy	z	(a|b)	?	disjoint+unique-iteration	False	same	same
greedy	z	(a|b)	?	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	((a)|b)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	((a)|b)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	*	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	*	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	+	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	+	disjoint+unique-iteration	True	same	same
greedy	z	((a)|b)	?	disjoint+unique-iteration	False	same	same
greedy	z	((a)|b)	?	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	(?:ab)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	(?:ab)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	*	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	*	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	+	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	+	disjoint+unique-iteration	True	same	same
greedy	z	(?:ab)	?	disjoint+unique-iteration	False	same	same
greedy	z	(?:ab)	?	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	(?:a|bc)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	(?:a|bc)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	*	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	*	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	+	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	+	disjoint+unique-iteration	True	same	same
greedy	z	(?:a|bc)	?	disjoint+unique-iteration	False	same	same
greedy	z	(?:a|bc)	?	disjoint+unique-iteration	True	same	same
greedy	z	(a)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	(a)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	z	(a)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	(a)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	z	(a)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	(a)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	(a)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	(a)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	z	(a)	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	(a)	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	(a)	*	disjoint+unique-iteration	False	same	same
greedy	z	(a)	*	disjoint+unique-iteration	True	same	same
greedy	z	(a)	+	disjoint+unique-iteration	False	same	same
greedy	z	(a)	+	disjoint+unique-iteration	True	same	same
greedy	z	(a)	?	disjoint+unique-iteration	False	same	same
greedy	z	(a)	?	disjoint+unique-iteration	True	same	same
greedy	z	[^c]	{0,4}	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	{0,4}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	z	[^c]	{1,3}	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	{1,3}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	z	[^c]	{2,2}	exact-count+unique-iteration	False	same	same
greedy	z	[^c]	{2,2}	exact-count+unique-iteration	True	same	same
greedy	z	[^c]	{0,2}	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	{0,2}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	z	[^c]	{3,}	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	{3,}	disjoint+unique-iteration	True	same	same
greedy	z	[^c]	*	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	*	disjoint+unique-iteration	True	same	same
greedy	z	[^c]	+	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	+	disjoint+unique-iteration	True	same	same
greedy	z	[^c]	?	disjoint+unique-iteration	False	same	same
greedy	z	[^c]	?	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	(?:z|)	a	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	a	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	a	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	a	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	a	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[ab]	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[ab]	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a|b)	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a|b)	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	((a)|b)	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	((a)|b)	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:ab)	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:ab)	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(?:a|bc)	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(?:a|bc)	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	{0,4}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	{1,3}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	(a)	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	(a)	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	{0,2}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	*	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	+	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	+	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	(a)	?	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	(a)	?	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[^c]	{0,4}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	{0,4}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	(?:z|)	[^c]	{1,3}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	{1,3}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	(?:z|)	[^c]	{2,2}	exact-count+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	{2,2}	exact-count+unique-iteration	True	same	same
greedy	(?:z|)	[^c]	{0,2}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	{0,2}	disjoint+unique-iteration	True	DIVERGES	DIVERGES
greedy	(?:z|)	[^c]	{3,}	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	{3,}	disjoint+unique-iteration	True	same	same
greedy	(?:z|)	[^c]	*	disjoint+unique-iteration	False	same	same
greedy	(?:z|)	[^c]	*	disjoint+unique-iteration	True	same	same
